Year,Month,Day,City_encoded,State_encoded,Store type_encoded
2013,5,20,39,25,0
2011,10,19,38,23,0
2016,8,1,39,25,1
2013,10,28,50,29,1
2023,10,4,18,9,1
2019,3,27,43,1,1
2022,3,2,4,5,1
2022,6,13,44,28,1
2019,10,16,36,27,0
2007,5,10,22,11,1
2019,12,13,13,16,0
2010,3,5,43,1,0
2007,6,28,4,5,0
2008,6,25,45,10,0
2015,10,7,13,16,1
2018,4,6,9,5,1
2021,3,3,51,8,1
2017,2,15,17,14,1
2022,4,1,13,16,1
2014,5,14,0,12,1
2009,4,27,16,9,1
2009,11,25,21,2,1
2008,10,10,20,11,1
2007,1,16,45,10,0
2018,2,14,26,15,0
2008,9,8,34,20,0
2008,7,16,22,11,0
2023,10,16,8,22,1
2013,9,30,49,26,0
2020,2,24,44,28,0
2014,11,5,51,8,1
2012,1,23,35,21,1
2023,9,25,48,29,1
2014,5,26,5,25,0
2014,3,3,41,4,1
2019,6,26,53,18,1
2022,1,21,17,14,1
2015,12,16,27,30,0
2007,3,8,3,22,1
2009,6,22,18,9,1
2016,3,16,1,0,1
2011,4,13,11,29,0
2020,4,27,42,17,1
2008,6,18,14,24,0
2007,6,25,12,7,0
2013,9,20,39,25,0
2008,12,22,53,18,1
2022,5,2,1,0,1
2020,11,25,44,28,0
2020,1,17,25,18,1
2015,5,4,24,1,0
2013,11,8,28,25,0
2012,2,15,40,27,0
2013,11,20,20,11,1
2019,1,16,51,8,0
2016,11,16,34,20,0
2010,6,11,35,21,0
2009,10,14,24,1,0
2015,11,13,48,29,1
2017,7,19,41,4,0
2011,11,25,21,2,1
2015,3,9,9,5,0
2017,7,5,0,12,1
2017,4,28,28,25,0
2010,5,26,34,20,1
2023,5,26,7,11,0
2018,12,14,36,27,1
2015,7,10,41,4,0
2017,5,26,13,16,0
2016,11,25,20,11,0
2022,4,22,21,2,1
2008,4,21,4,5,0
2008,11,12,35,21,0
2021,2,10,48,29,1
2015,8,21,22,11,0
2015,1,9,2,3,0
2009,10,16,48,29,1
2023,11,29,35,21,1
2017,4,24,5,25,1
2015,4,13,1,0,0
2017,2,1,42,17,0
2016,7,11,17,14,0
2018,8,13,3,22,0
2012,6,6,49,26,0
2017,1,25,55,31,1
2022,7,15,5,25,0
2009,4,27,9,5,0
2015,9,14,55,31,0
2011,10,10,2,3,0
2016,11,18,24,1,0
2008,3,26,30,19,1
2021,8,30,30,19,1
2022,7,13,28,25,0
2019,7,26,47,4,1
2010,9,13,54,20,1
2022,12,21,15,8,0
2014,1,22,28,25,0
2013,12,18,48,29,0
2013,8,19,7,11,0
2021,1,22,9,5,0
2015,6,15,20,11,0
2011,1,14,30,19,0
2018,7,18,17,14,1
2021,8,25,22,11,0
2011,11,16,10,12,1
2024,2,19,43,1,0
2010,10,18,14,24,0
2020,2,12,1,0,1
2023,11,29,16,9,1
2015,4,20,0,12,1
2021,10,1,16,9,0
2016,10,3,26,15,1
2022,7,20,7,11,1
2012,12,26,15,8,1
2009,2,25,45,10,0
2022,7,1,10,12,1
2010,10,11,35,21,0
2015,8,24,29,27,0
2019,3,8,26,15,0
2018,6,1,50,29,0
2014,11,7,50,29,1
2023,5,31,7,11,0
2015,2,27,43,1,1
2017,11,27,10,12,1
2012,11,12,14,24,1
2007,2,3,5,25,1
2019,10,16,41,4,0
2018,1,19,22,11,0
2008,4,7,13,16,0
2008,9,29,0,12,0
2013,4,29,5,25,0
2016,10,10,46,6,0
2021,9,8,44,28,0
2023,8,30,36,27,1
2009,6,29,12,7,0
2013,2,1,14,24,1
2016,4,8,18,9,1
2009,10,7,0,12,1
2007,6,27,6,27,0
2023,5,22,27,30,1
2014,8,13,24,1,0
2011,6,29,28,25,1
2014,4,21,41,4,1
2022,6,20,47,4,0
2021,7,28,13,16,1
2011,2,2,20,11,1
2009,3,27,53,18,1
2007,8,20,36,27,0
2014,11,24,17,14,1
2016,2,3,2,3,0
2022,7,11,44,28,0
2017,1,11,54,20,1
2020,4,8,41,4,0
2007,6,15,8,22,0
2010,8,13,35,21,1
2019,9,13,17,14,0
2021,6,30,0,12,1
2016,1,15,15,8,0
2010,3,19,50,29,0
2016,1,6,32,6,0
2013,6,10,32,6,1
2014,2,28,18,9,0
2008,11,7,41,4,0
2023,11,15,52,14,1
2022,11,11,30,19,0
2020,2,5,11,29,0
2023,7,26,49,26,1
2019,5,17,41,4,0
2010,8,16,54,20,0
2022,4,11,21,2,0
2019,4,5,7,11,0
2017,6,19,43,1,1
2018,3,2,6,27,0
2014,11,10,22,11,0
2016,12,26,12,7,1
2012,9,24,10,12,0
2007,4,2,13,16,1
2010,5,26,26,15,1
2008,8,22,42,17,0
2018,4,11,5,25,1
2010,11,26,22,11,0
2015,1,16,27,30,1
2010,8,11,8,22,0
2016,5,30,48,29,0
2014,1,20,38,23,0
2008,8,13,50,29,0
2012,10,12,11,29,0
2020,5,15,3,22,0
2021,3,17,8,22,0
2012,4,27,29,27,0
2012,7,20,19,25,1
2022,12,28,29,27,1
2010,11,24,5,25,0
2011,12,23,17,14,0
2010,12,1,30,19,1
2007,2,7,18,9,1
2009,7,17,54,20,1
2023,10,4,2,3,1
2011,8,26,35,21,0
2021,4,9,11,29,0
2018,6,22,1,0,0
2011,6,3,47,4,0
2012,7,6,26,15,0
2017,12,8,18,9,1
2007,3,20,10,12,0
2024,1,22,39,25,0
2019,3,25,17,14,0
2021,9,13,53,18,1
2010,2,10,24,1,0
2012,3,16,29,27,0
2023,4,19,21,2,1
2011,8,24,17,14,0
2007,10,22,25,18,0
2021,4,16,42,17,0
2007,4,14,1,0,1
2021,3,10,16,9,0
2008,8,4,5,25,0
2016,5,4,6,27,0
2007,3,8,30,19,0
2017,6,30,31,13,1
2018,8,29,49,26,0
2019,7,22,53,18,0
2010,3,10,41,4,0
2014,1,10,50,29,1
2012,5,23,46,6,0
2012,1,6,0,12,0
2007,3,31,6,27,0
2016,6,8,17,14,0
2019,6,26,16,9,0
2012,2,8,13,16,0
2019,1,9,49,26,0
2015,10,30,0,12,1
2019,4,22,13,16,1
2023,10,18,34,20,0
2014,3,31,35,21,0
2016,1,18,37,6,1
2010,7,14,55,31,0
2009,2,23,43,1,0
2020,9,4,46,6,1
2009,9,18,35,21,1
2012,12,28,1,0,0
2011,12,2,54,20,1
2007,4,10,49,26,1
2018,11,16,43,1,0
2011,6,24,35,21,0
2009,4,29,33,29,0
2023,6,30,23,27,0
2015,1,2,43,1,0
2017,11,22,21,2,1
2019,12,11,42,17,1
2011,1,12,33,29,0
2009,3,23,19,25,1
2018,9,28,29,27,0
2017,11,15,24,1,1
2010,9,10,16,9,1
2007,1,27,8,22,0
2008,6,9,8,22,0
2008,5,7,31,13,0
2016,4,25,13,16,1
2011,6,8,12,7,1
2017,3,27,43,1,0
2014,10,13,16,9,0
2012,2,13,51,8,0
2021,7,9,23,27,1
2011,4,1,51,8,1
2007,1,23,36,27,1
2015,4,6,33,29,1
2018,5,21,40,27,0
2015,2,20,6,27,0
2007,1,26,55,31,0
2013,5,29,46,6,0
2011,1,7,13,16,0
2021,2,3,28,25,0
2007,1,31,29,27,0
2009,9,23,23,27,0
2016,5,27,44,28,0
2023,9,13,19,25,1
2012,9,3,31,13,0
2018,8,1,45,10,1
2010,6,16,52,14,1
2018,12,10,8,22,1
2016,1,29,54,20,0
2018,6,22,8,22,1
2007,5,9,30,19,0
2023,12,8,29,27,0
2010,8,9,50,29,0
2014,7,7,2,3,1
2008,8,4,30,19,0
2013,2,8,29,27,0
2022,9,14,37,6,1
2014,7,14,37,6,0
2008,10,17,13,16,1
2008,7,23,25,18,1
2024,1,10,26,15,1
2019,8,2,2,3,1
2021,6,4,7,11,0
2014,6,16,22,11,0
2019,9,18,18,9,1
2022,8,26,50,29,1
2020,12,4,49,26,1
2021,9,24,36,27,0
2018,2,2,20,11,0
2015,9,30,39,25,1
2021,11,5,9,5,0
2023,5,17,2,3,0
2022,1,28,15,8,0
2015,2,13,4,5,1
2012,6,13,52,14,0
2013,4,24,12,7,1
2014,12,8,34,20,1
2021,4,19,25,18,0
2011,5,2,52,14,0
2020,11,13,8,22,1
2021,7,2,21,2,0
2017,10,30,46,6,0
2016,9,19,38,23,1
2020,2,7,3,22,0
2015,11,11,18,9,0
2009,11,23,26,15,1
2023,9,4,40,27,1
2017,6,9,29,27,1
2018,12,7,17,14,1
2017,8,16,27,30,1
2010,10,13,11,29,0
2021,8,4,12,7,1
2019,1,28,13,16,1
2022,10,10,29,27,0
2021,2,24,50,29,0
2022,11,4,1,0,1
2014,3,24,8,22,0
2016,8,31,19,25,1
2011,11,14,32,6,0
2007,2,23,8,22,0
2015,10,12,44,28,1
2013,11,25,27,30,0
2015,7,13,33,29,0
2019,6,14,43,1,1
2011,7,11,22,11,1
2015,11,25,33,29,1
2018,6,11,29,27,1
2012,2,13,38,23,1
2013,4,12,37,6,1
2018,6,22,37,6,0
2009,1,23,10,12,1
2007,6,28,45,10,1
2013,11,4,31,13,0
2024,2,23,0,12,0
2015,6,3,6,27,1
2015,2,27,39,25,1
2007,6,13,36,27,1
2008,7,25,41,4,1
2017,7,17,48,29,0
2007,11,5,28,25,1
2009,7,6,14,24,0
2007,4,12,12,7,1
2016,11,18,40,27,1
2011,1,7,49,26,1
2010,10,6,2,3,1
2017,9,25,40,27,1
2010,4,23,49,26,1
2022,8,22,46,6,0
2022,3,16,11,29,0
2019,8,14,29,27,0
2009,9,18,36,27,1
2007,3,17,47,4,1
2023,12,8,8,22,1
2008,12,22,2,3,0
2013,4,24,30,19,1
2018,4,25,13,16,1
2013,12,11,40,27,0
2012,7,30,27,30,0
2021,1,15,27,30,0
2013,1,25,20,11,0
2007,9,3,50,29,1
2021,6,28,38,23,0
2017,6,23,15,8,1
2019,12,20,4,5,1
2008,5,9,51,8,0
2021,6,7,54,20,1
2008,12,22,50,29,0
2020,3,6,23,27,0
2008,3,28,21,2,0
2020,5,20,22,11,0
2009,8,28,34,20,0
2008,10,22,17,14,0
2010,3,1,27,30,0
2014,6,30,17,14,0
2016,9,12,36,27,0
2010,6,28,33,29,0
2020,3,4,12,7,0
2018,10,10,41,4,1
2013,4,22,45,10,0
2009,7,13,26,15,0
2018,10,29,17,14,1
2024,1,8,40,27,1
2019,4,1,9,5,0
2018,5,11,23,27,1
2020,2,21,55,31,1
2015,7,15,26,15,1
2007,1,26,47,4,1
2022,10,14,19,25,1
2015,8,12,3,22,1
2007,2,16,44,28,1
2013,1,25,23,27,0
2011,8,29,25,18,0
2011,5,2,0,12,0
2011,5,23,33,29,1
2023,7,3,12,7,1
2023,9,29,45,10,1
2023,3,8,14,24,1
2013,12,30,35,21,1
2022,1,14,52,14,0
2007,1,19,12,7,0
2024,2,26,28,25,1
2016,9,2,21,2,1
2009,7,22,36,27,1
2017,11,27,19,25,1
2014,1,8,14,24,1
2018,3,23,26,15,1
2019,10,2,25,18,1
2015,2,27,25,18,1
2021,7,23,36,27,1
2012,2,27,1,0,1
2020,4,15,12,7,1
2010,3,10,6,27,1
2020,12,7,44,28,1
2014,12,19,44,28,0
2019,11,29,9,5,1
2020,12,11,13,16,0
2014,5,28,22,11,0
2012,1,27,12,7,1
2009,3,20,31,13,1
2023,11,8,0,12,0
2007,2,27,24,1,0
2009,1,2,17,14,1
2019,11,15,44,28,0
2021,12,22,35,21,0
2008,10,8,32,6,0
2008,10,1,41,4,0
2012,10,29,23,27,1
2018,7,9,55,31,1
2016,12,7,6,27,0
2018,6,13,18,9,0
2018,9,10,22,11,0
2011,5,25,19,25,1
2011,1,14,53,18,1
2012,1,27,47,4,1
2022,10,19,18,9,0
2014,10,1,23,27,1
2016,6,24,23,27,1
2015,8,24,37,6,0
2012,6,15,54,20,0
2008,10,24,17,14,0
2022,4,18,40,27,0
2012,6,29,42,17,0
2016,8,29,55,31,1
2008,11,7,36,27,0
2013,12,6,27,30,0
2022,9,28,6,27,0
2012,1,20,45,10,1
2021,1,11,0,12,1
2009,11,4,30,19,1
2022,7,8,54,20,0
2015,8,10,30,19,1
2014,11,7,39,25,0
2008,8,20,14,24,1
2017,5,22,7,11,1
2023,6,9,19,25,1
2007,4,17,34,20,1
2017,2,27,31,13,1
2010,9,1,41,4,0
2014,5,21,34,20,0
2015,12,7,4,5,1
2017,2,22,54,20,1
2007,5,21,42,17,0
2009,9,25,13,16,0
2020,1,13,16,9,0
2016,10,26,42,17,0
2016,12,2,5,25,1
2013,12,9,29,27,0
2009,10,7,50,29,0
2017,8,7,52,14,1
2019,3,1,53,18,0
2013,12,2,40,27,0
2018,3,14,48,29,1
2015,4,22,11,29,0
2021,12,1,40,27,0
2011,8,8,30,19,0
2010,1,20,18,9,1
2021,6,11,43,1,1
2011,8,29,24,1,0
2022,3,18,36,27,0
2014,5,23,10,12,1
2023,6,5,35,21,0
2015,7,31,17,14,0
2019,3,22,11,29,0
2017,2,3,11,29,0
2016,11,30,9,5,0
2011,11,16,10,12,0
2022,3,28,53,18,0
2012,12,10,6,27,0
2010,8,18,50,29,1
2008,9,12,20,11,1
2018,6,29,50,29,1
2014,3,3,10,12,1
2018,10,26,54,20,1
2016,3,28,27,30,1
2012,2,22,41,4,1
2019,9,13,38,23,0
2010,5,19,27,30,1
2009,2,13,41,4,0
2023,10,11,31,13,0
2011,2,11,42,17,0
2007,12,17,47,4,1
2012,2,24,16,9,0
2018,7,6,52,14,1
2012,4,9,23,27,0
2019,7,24,41,4,1
2008,2,11,10,12,1
2014,10,6,39,25,1
2013,2,25,27,30,0
2009,7,31,48,29,1
2007,3,6,42,17,1
2008,2,15,35,21,0
2017,12,1,32,6,0
2018,10,8,54,20,0
2018,6,11,0,12,0
2015,4,22,10,12,1
2023,6,7,48,29,0
2009,8,7,24,1,0
2015,3,2,20,11,1
2020,11,6,32,6,1
2017,10,4,8,22,0
2023,9,27,42,17,0
2020,5,18,24,1,0
2021,3,26,13,16,1
2013,4,10,1,0,0
2023,2,8,21,2,0
2017,7,7,17,14,1
2007,2,7,54,20,1
2022,12,16,52,14,1
2007,10,29,30,19,1
2009,5,25,38,23,0
2014,4,25,23,27,0
2009,9,2,19,25,0
2020,4,8,13,16,1
2021,3,24,14,24,1
2008,9,26,30,19,0
2022,10,17,18,9,0
2009,9,7,36,27,1
2016,4,29,35,21,0
2014,12,26,35,21,1
2023,11,13,39,25,0
2013,8,21,15,8,1
2011,6,17,35,21,1
2016,8,8,36,27,0
2011,12,5,21,2,1
2007,12,17,41,4,0
2023,12,20,29,27,0
2011,10,14,30,19,1
2017,2,20,28,25,1
2024,1,8,18,9,1
2014,10,17,47,4,0
2009,7,31,31,13,0
2023,2,27,24,1,1
2021,1,20,9,5,1
2017,12,4,14,24,1
2015,6,17,50,29,0
2008,2,13,33,29,0
2013,5,22,21,2,1
2012,2,8,0,12,0
2013,12,4,54,20,1
2015,4,10,45,10,1
2012,5,25,12,7,0
2007,1,24,13,16,1
2015,12,28,19,25,0
2007,2,12,23,27,0
2012,7,11,54,20,1
2012,8,20,21,2,1
2021,1,20,49,26,0
2007,1,18,48,29,0
2023,9,15,7,11,0
2015,10,21,46,6,0
2015,7,15,40,27,0
2012,5,9,7,11,1
2013,8,5,48,29,1
2019,4,5,5,25,1
2009,1,23,34,20,0
2010,1,11,53,18,1
2018,5,14,43,1,1
2024,1,17,31,13,0
2010,6,4,12,7,0
2023,11,10,41,4,1
2010,11,29,53,18,1
2008,6,2,26,15,0
2017,4,3,28,25,0
2022,10,10,50,29,0
2013,12,20,31,13,0
2019,10,4,38,23,1
2021,4,28,8,22,1
2014,10,24,18,9,1
2015,10,14,33,29,0
2016,11,11,30,19,1
2015,1,14,25,18,0
2010,6,9,38,23,0
2007,7,9,0,12,1
2021,10,8,32,6,1
2022,10,3,37,6,1
2012,12,5,44,28,0
2010,3,17,16,9,0
2021,11,22,48,29,0
2013,5,13,16,9,0
2021,4,16,31,13,1
2011,5,6,4,5,1
2021,8,20,34,20,1
2019,2,27,29,27,0
2013,6,17,19,25,1
2013,11,8,42,17,0
2010,9,20,49,26,1
2017,3,22,20,11,1
2015,4,13,19,25,1
2017,1,18,37,6,0
2013,7,26,14,24,1
2023,7,31,49,26,0
2014,4,4,33,29,1
2014,12,5,23,27,1
2017,11,22,23,27,1
2007,8,13,29,27,1
2023,4,17,19,25,0
2019,6,19,10,12,1
2020,4,29,25,18,0
2008,9,5,6,27,1
2018,10,22,32,6,1
2016,10,24,43,1,0
2020,5,20,32,6,1
2016,11,28,45,10,0
2018,3,12,4,5,0
2012,10,29,9,5,1
2021,12,29,45,10,0
2012,5,2,16,9,1
2024,1,19,31,13,1
2012,1,20,11,29,0
2013,5,17,4,5,1
2022,3,23,3,22,1
2008,6,30,41,4,0
2023,12,29,42,17,0
2008,7,28,14,24,0
2011,10,21,21,2,1
2012,3,9,26,15,1
2020,10,14,1,0,1
2008,7,2,3,22,1
2007,7,30,42,17,0
2018,6,15,30,19,0
2020,3,25,55,31,1
2013,12,23,40,27,0
2019,6,17,9,5,0
2013,8,30,17,14,0
2012,5,25,15,8,0
2013,4,10,22,11,1
2016,11,11,34,20,0
2012,2,20,5,25,1
2009,10,9,44,28,1
2011,8,3,52,14,1
2015,3,11,45,10,1
2020,9,14,50,29,1
2009,9,23,6,27,0
2008,9,8,41,4,0
2007,4,2,5,25,0
2012,12,19,25,18,0
2016,2,8,21,2,0
2013,8,7,35,21,0
2022,1,28,2,3,0
2018,4,2,21,2,0
2014,12,12,30,19,0
2017,6,26,13,16,1
2008,4,9,45,10,0
2015,5,22,7,11,1
2021,10,11,16,9,1
2019,12,2,47,4,1
2015,9,21,23,27,1
2007,8,6,45,10,1
2019,1,23,1,0,1
2010,2,3,4,5,1
2018,4,6,30,19,0
2012,3,23,30,19,0
2010,12,22,5,25,0
2022,6,24,24,1,1
2016,8,12,39,25,0
2022,7,25,36,27,0
2019,12,20,7,11,0
2008,7,25,38,23,1
2021,9,3,42,17,0
2008,1,23,15,8,1
2008,9,8,5,25,1
2022,11,11,6,27,1
2015,8,3,19,25,0
2023,5,24,10,12,0
2016,6,29,23,27,0
2012,7,11,1,0,1
2014,8,13,16,9,0
2015,1,2,24,1,1
2010,6,28,25,18,0
2011,5,9,5,25,0
2018,5,14,51,8,0
2012,4,2,5,25,1
2021,3,22,42,17,1
2014,11,19,6,27,1
2015,6,15,31,13,0
2015,2,27,9,5,0
2014,10,29,46,6,0
2016,2,8,48,29,1
2007,6,11,52,14,1
2015,2,6,15,8,0
2010,1,8,49,26,0
2009,11,18,45,10,0
2021,12,3,52,14,0
2020,8,21,13,16,1
2019,4,12,6,27,1
2018,12,3,30,19,0
2013,7,26,50,29,0
2009,8,14,50,29,1
2007,1,24,17,14,1
2019,9,30,24,1,0
2018,1,10,19,25,0
2014,7,16,43,1,1
2012,1,4,9,5,1
2014,10,31,40,27,1
2011,4,1,55,31,0
2012,10,26,2,3,0
2014,8,8,41,4,0
2009,11,9,51,8,0
2022,2,23,28,25,0
2014,10,20,23,27,1
2022,8,19,4,5,0
2011,4,11,51,8,0
2018,4,6,21,2,1
2014,12,24,38,23,1
2008,4,16,38,23,0
2014,11,10,12,7,1
2020,12,9,30,19,1
2011,3,4,45,10,0
2009,5,8,26,15,1
2012,1,13,8,22,0
2009,4,1,31,13,1
2016,11,14,0,12,0
2020,4,29,35,21,0
2019,5,10,34,20,0
2016,9,7,25,18,1
2020,4,6,36,27,0
2015,3,18,26,15,0
2020,11,13,5,25,0
2016,3,9,52,14,1
2016,9,7,7,11,0
2018,11,14,43,1,0
2009,3,2,41,4,1
2022,8,29,0,12,1
2009,5,6,27,30,1
2010,7,30,5,25,0
2013,9,30,38,23,1
2011,3,14,28,25,1
2010,7,14,54,20,0
2018,5,21,32,6,1
2008,4,30,0,12,0
2008,2,18,15,8,0
2016,1,25,41,4,1
2023,3,31,17,14,1
2021,11,12,17,14,1
2010,11,8,24,1,1
2024,1,3,55,31,0
2007,12,31,12,7,1
2015,2,23,43,1,0
2011,8,5,2,3,1
2016,10,7,36,27,1
2012,6,15,1,0,0
2011,5,2,20,11,1
2011,8,5,49,26,1
2009,10,5,0,12,1
2020,2,14,48,29,0
2011,10,26,55,31,1
2021,10,4,1,0,1
2020,1,27,31,13,1
2016,11,18,12,7,0
2014,7,21,10,12,1
2009,8,24,40,27,0
2017,3,8,44,28,0
2021,8,18,48,29,1
2021,2,26,30,19,0
2017,2,3,22,11,1
2018,5,25,29,27,0
2013,12,4,52,14,1
2021,5,7,37,6,0
2011,11,23,38,23,1
2015,2,20,27,30,0
2010,12,20,24,1,0
2015,10,28,2,3,0
2010,10,1,24,1,1
2023,3,29,30,19,0
2021,2,12,14,24,0
2009,10,7,20,11,1
2022,9,30,50,29,0
2008,12,22,41,4,1
2016,9,12,40,27,0
2008,9,29,42,17,0
2010,5,31,36,27,1
2008,2,15,8,22,0
2015,6,26,27,30,0
2023,11,8,45,10,0
2013,3,11,7,11,0
2015,6,5,2,3,1
2023,9,13,49,26,0
2008,9,19,44,28,0
2008,9,29,11,29,0
2011,12,5,36,27,1
2015,2,23,38,23,1
2014,2,12,45,10,1
2018,9,3,40,27,0
2016,8,15,24,1,0
2011,9,30,45,10,0
2019,1,4,7,11,1
2023,7,19,1,0,0
2017,2,3,46,6,1
2008,6,27,4,5,1
2023,9,18,0,12,1
2016,4,20,52,14,1
2020,5,27,23,27,1
2019,11,29,12,7,0
2016,1,15,55,31,1
2015,3,27,34,20,0
2007,2,24,26,15,0
2019,10,30,27,30,1
2015,4,10,53,18,0
2023,6,26,1,0,0
2009,12,16,37,6,1
2008,1,30,53,18,1
2014,6,20,55,31,1
2008,7,18,45,10,1
2007,2,20,42,17,0
2014,11,21,45,10,1
2013,6,5,54,20,0
2016,10,21,50,29,1
2019,7,22,25,18,1
2007,4,16,19,25,0
2016,8,29,45,10,0
2018,9,10,44,28,0
